toptrack_key,track_popularity
7795WJLVKJoAyVoOtCWqXN,83
5Nm9ERjJZ5oyfXZTECKmRt,81
1mXVgsBdtIVeCLJnSnmtdV,79
2TeLIzFBe3hxkPR5FIQZut,79
16MQETUgqXwY4lZcyRafU3,77
7t3Xdbufg7q2onVsR8RBdY,75
3xgT3xIlFGqZjYW9QlhJWp,73
34pRqzRiFcIuyRMuuEayzY,65
0hquQWY3xvYqN4qtiquniF,90
6Uj1ctrBOjOas8xZXGqKk4,89
3Vi5XqYrmQgOYBajMWSvCi,85
0k4d5YPDr1r7FX77VdqWez,83
3DarAbFujv6eYNliUTyqtz,81
60ynsPSSKe6O3sfwRnIBRf,82
0W6I02J9xcqK8MtSeosEXb,81
5lAnYvAIkSDNXqfo7DyFUm,80
6xGruZOHLs39ZbVccQTuPZ,96
0rKtyWc8bvkriBthvHKY8d,85
1VGzxJnVQND7Cg5H5wGj14,80
0baNzeUcPQnQSagpe8T0mD,79
5F1ZmucV0uJY14y2dYKePa,75
7wvwXi9Z66dcH5t202vVkN,74
3xo4Q43ei0ypZOvd2W1IqZ,69
6Ed1q0X8oSKSm4IIhiQbYg,73
6TodWdTSDfzwgYynTZSvJn,72
0fX4oNGBWO3dSGUZcVdVV2,84
2g6tReTlM2Akp41g0HaeXN,83
7KXjTSCq5nL1LoYtL7XAwS,82
3GCdLUSnKSMJhs4Tj6CV3s,82
6PGoSes0D9eUDeeAafB2As,81
1QPreu0BNOrUfEb8HTd2qG,79
6IZvVAP7VPPnsGX6bvgkqg,79
3lzUeaCbcCDB5IXYfqWRlF,79
6HZILIRieu8S0iqY8kIKhj,79
13tJ9Mkj7cjXxrTjOh0LAN,47
10EbcvamEVm3t32nUj8lX1,44
2PkWIxSiFjTiCUZrtDWqoz,43
6i2oWpLh1Bt8F5BVaiyHmr,43
3dBd4ZCkpr1NPOaTXSZY3W,42
7Mlo3IR7Vz6GDrC9733KRz,40
49gm0W9gCb9dSaFZQYJQsh,38
6GmRxBfE68sxJBRcMsKvtU,38
300O5aB8IWTCGL2xIfx2xq,38
4UG2Fm0E98LhE2dlNxiAXx,83
6GD1eomgaGT1Epto6Q5eAo,74
33aLws184a7SVqraKuDqI3,73
60DkG4mCA52rUUXz0F0wNi,69
5TpvLkESnw1g9wDz52efeO,65
4UN1cxXIlQhmOWXhEkrBqu,62
1oUisglJjlTLsSd9OFqSf2,58
4ObQ0m7VUtrgdEwpFeCKua,57
4rrrn8OLrttq7r9RgNXalU,57
0wZMPhztIsuwSjCo6OalWe,53
419qlOGNXoyICx4jO0hqaj,53
0H3JiNc4CGnFVwMqWvACmO,48
1faDVN6hdbj0rQXOP5Cflf,30
7EcjtjNYDhQ82yCQZU0Z9C,47
2buQqAGeQDkkUySsKyoDQJ,46
76tGvMdmFKuiMew33ZNNA9,74
3oyf4dalm17kzTE8LJDbgR,74
7qBT9qcbtkLqrfm9LiTNB4,73
3kEsMLO3qUUwiXeCndsMIb,68
6VZg3YsN5kKBwz39fPcIM1,68
6zHyWsqTzT6Fympdy9KQDQ,66
1Cx5pTBRWI67JXVmMGJT23,64
3hMvsYZjU1pFH0xoywKXA9,64
7t5MUcFIIayP1M6TNhtWE0,61
1I4lCSP69P74nU3a6Su5L2,80
332xSCN5xTnJYnuyobZmy7,61
6s4T0UEJs5kX6EsEjvfXpw,51
1fMh032FtBwJDk1iGurH9Y,47
0XGR13jGzZ68T6R0PVmQFH,47
6LKpiaIF8jCAGj8W96WNQr,47
7jcP7f7Gol3IS01nfj7zbG,46
6CGfrHc7vZErPVKO12Coj6,44
31tf1qEai5o5f4r66Kd0pU,84
0wXuerDYiBnERgIpbb3JBR,83
2ZltjIqztEpZtafc8w0I9t,78
0mCVNGC4Vvb6gDDQrDpaRh,76
7p4vHnYXkxlzvfePJVpcTr,72
3WWAvWDBQANpJeNbvVbjMg,71
799f6Ih1Pu4AUApMyXhxUc,70
5NhlpQ6BOIz3S5welptk1W,70
0b9oOr2ZgvyQu88wzixux9,70
4kgKjHMIDWri9XHjyxSbpy,57
01HGXW27UXeMWa8Eglzgcf,56
7ceXCl3ndsTFrH60P1c0io,54
1xXk9IMrUPwqpOXXTk7sCt,47
7sdWbnUGRzpWJmupEpXJiP,44
7FSaklAKEXjV6HCoOhFDYR,44
3reHllSvAJyGwahWW4pdju,44
4W1HsvmcGtusNPyqdVOqaV,42
0jJOVtwAT6gpldYt3p6KhE,42
4iJyoBOLtHqaGxP12qzhQI,86
3FAJ6O0NOHQV8Mc5Ri6ENp,83
6TSO4hwz9WGrEUY7ABGVim,79
6qBFSepqLCuh5tehehc1bd,76
1TlTzdsEpgfsmbuNfYmWfG,72
5PSYn0XVImstXPFFDtajEK,71
7r1MqPAD09w24mCUUbxiCI,71
6I3mqTwhRpn34SLVafSH7G,89
50kpGaPAhYJ3sGmk6vplg0,83
6epn3r7S14KUqlReYr77hA,81
09CtPGIpYB4BrO8qb1RGsF,80
1nahzW3kfMuwReTka28tH5,78
2JHHXGSC6Ra3IJOBNLbhS6,39
1XmdReQRsXwlXs62EELp5S,45
0zZxNUuYI4mIjhA6OE6amf,31
7uYpvX8Gb7CUubdJcRt8E0,55
5EqHA3fTPCSLJDtUIqQySl,30
2xsqmGbhmZwsQMboHQ9jca,29
6x9CsGaWqqtaggNYelyWO5,48
6XWBDQ4urerE3ekhoYdnT4,18
7GNRUsU3M4XNDDB9xle5Dz,80
03UrZgTINDqvnUMbbIMhql,73
1eMVXXpNPEUdFRy5ZH7FpM,62
5JlfrE9buCY1AB18sO5IdG,40
25YgkxnU4UzEG4ORni69Rw,58
5INgNRiLfTyTGTXt3eIr2r,52
3OLrkewJ2oQ1MQjUdEDfY5,50
77agEdLYGWCAhSmwtkPlCs,50
0sEWGO1ajAmgln6B4lkuKb,47
4Dvkj6JhhA12EX05fT7y2e,93
1qEmFfgcLObUfQm0j1W2CK,92
6UelLqGlWMcVH1E5c4H7lY,89
5LYMamLv12UPbemOaTPyeV,87
6uvh0In7u1Xn4HgxOfAn8O,86
51Zw1cKDgkad0CXv23HCMU,85
3jjujdWJ72nww5eGnfs2E7,85
3i058E8uxTsYqJ5NWZzqSj,84
0rzaRSujxA0bKyjJl6vHYq,84
68Dni7IE4VyPkTOH9mRWHr,87
4tqcoej1zPvwePZCzuAjJd,83
0Fs9cdPDhptWEDJmiCbkEW,82
2wAJTrFhCnQyNSD3oUgTZO,80
2JvzF1RMd7lE3KmFlsyZD8,79
5W8jRrZ6tWrTrqnKRtIQBf,78
1D3z6HTiQsNmZxjl7F7eoG,78
2uwnP6tZVVmTovzX5ELooy,76
3eJH2nAjvNXdmPfBkALiPZ,81
59qrUpoplZxbIZxk6X0Bm3,78
6kex4EBAj0WHXDKZMEJaaF,76
7oGZAicScQt96OAW4AruYy,75
4Lt6GXGzYsa1tgkv3nGSTm,71
312A8WfROSLvZbMDHBUPDp,59
35zEswqAFI1D41cmoBXOFK,54
6DoenX36UcAKSp6wR9UKxM,54
5UjccMIJkNhont0TGSU0iD,54
3PEx44by2Pe7E6M8tgqE5N,53
2phF2CRhoSnpJUxxvHUf8Z,50
49BeIQzb05PWsS2YfSt87Q,49
4aHi701FKuFYj7QSeSEftV,48
42F4K181FFdhkbDAaoxDye,48
4rCuwgRRKaIiHlHDc8Bga6,65
1IjeGPU5hqHlJpm00zObN7,65
6rSUrh8ErKSKfbH0t0IzCM,60
0iDuW211AjTsYDPsLxyqX4,59
2oap3QptGISyIvwKpnJJId,59
6YQmDvj6XVAKSPLzjjLrFj,58
7EuktT4CgA637ci366IrYW,56
6mnnWzRl1C6LABvoUar9tF,54
3YJJjQPAbDT7mGpX3WtQ9A,81
5dXWFMwD7I7zXsInONVl0H,78
2fXwCWkh6YG5zU1IyvQrbs,76
0q75NwOoFiARAVp4EXU4Bs,76
6gU9OKjOE7ghfEd55oRO57,73
0P6AWOA4LG1XOctzaVu5tt,73
73eCSQ1DxQbaOnzy8PhKx3,55
3OXHwY8gI2QUh0QliXBwrI,55
13bw75oRjvxMv9VGIeM32i,52
7CTitzr4eVIDCPUJi5Dr4B,52
5ZZwQy1wofQhj7LJDNLflT,49
6A4wVKbcg0mRriCFjZzX0Z,48
0v2hRgvRSMnHsTSWyaoKbH,47
4rzTxZaFsTXQN54WimO4QU,47
2Imxyb3LiuXsDFo7Gq5YDs,62
18QVbIw5S0MJHGWF2qLX75,61
4vi9pBR7yJhBzGaNu0k1gj,55
4pfkZUqRCYG5If39QHFpbQ,52
1SkOyiUembPDeyEvFy1p0c,51
7rrDSYbroZhV6aKkbYxiuG,51
4SbAXtlOJ0eCL0XwFVi0Ij,51
4x6N6LIKIiab4gV4cdbtPZ,51
7Et5YO6MFDDC5XEcwr0nmF,45
3zemDQh2rewuC7FBsnmFa4,41
5iC7FWLjwoQkiLrB2ogP3S,38
0dcu0aHSFqG0AZqXBOoS3A,38
7Hp29LdH3DaCi9dr6nV2SY,38
56ch3HiQ8wrxelRBG0J8nx,35
4hcmFGK2xwPmYVUeZoHvfD,35
33GpgThxG1t0JvmD8vOTs3,34
3jEqrIfwKO0M8ALu3TGilF,66
4GtvQ52U6f9LGkwjAqL60e,64
6oUGAx0vkBcnGzYkvw0ZsA,63
1oNToERLIN71YCPLbRIQGQ,63
3LGeYNY9aWQuBJovOOowqm,57
2SrXt0JJEX9PfVSZuJ6dqg,50
2zcjGIvtu2EKBNquStm1pp,50
3RnLEACttdwU6futFsaflI,50
5ZOfHnTDRa9NHCdscBILvn,48
6rCuplMDiFQVSca77OQocz,56
3ZptYblxFPhvIJ0RRRozk9,56
13z7RLPmgupzRwQY9NiTZU,55
4cTPtlhSo6NDdOe1fXzx1N,53
4nReGzidxUxHUZyJSevbsS,53
4P5tPq60W4LLYcoXLgWlYx,52
4uvsFVpFwARxx5lEfcpPmM,51
5CiwHSUDf9C1Uv0r4nUVLd,50
4JoDBcODOajOx3ZRQlSa7o,48
6XY80Ofqd8j0SGiEdRLwCp,60
4PMakIBWXujbe2MIsuZtOc,58
5DH8nF7aWoXXg5Sm3gjCWD,56
65KjitGykI5QIcsYrNhPZR,56
1jcW6AjFWRyfnTXwLlMMlJ,52
5s8u5uW7zXvWfes7xh0Gr8,51
0w4Sf61CbM69gDD7RVmaBD,50
3WiPLRpAhceu2Ssjd3WtTx,50
3KMozKCYJDSNJ53paNEIXk,49
2tjh87mXDZJJIKLOpqH97T,40
7wKSQwBzevrfI4nsSNGnuM,34
3mJwxIe4I6V9Df1K0jtj9f,25
6Lrp4HqonE16Tt8PDeOHbY,24
2l50cXc43YkybbWCLnb6Ng,22
0bu4NLSuoYIpTcIvwNYPmz,21
6YJY6jQaRzCPagxyh9Xk5X,19
4MZsOR6OHe9vXtAkNM4oaa,18
1FdqYUmL94pC7JHkAM4gWS,15
7ncPjJBktLEOpstY5JOUMK,73
6ZiEWet0uFRwWBCEKCQ8rY,73
34PR0zLBVl7VMF9E7dDwdo,73
0J0P8iSE6l3pYHbUdNFYdS,72
172fMG26G2OoEzzg0wn26r,66
3oQaOjaIYPsnJbGNzXcIID,65
0r2PAeROizyyoFMpu0fvwI,61
5vsM9UppL2iTgOfenMB6Gz,60
7wnOPAiqvIG4dTvEInj0YT,59
5rWdsfGQLrBoJZ3reBNX91,32
7LmaHiE3xzKS4VdPYD5xyE,26
5MDwe8eee44VDwjjKRgV9T,20
42niFnw89PAr83wCWxSvOi,16
5kgDRruR6WtLc7M86paumN,16
15lvoKIM83y7mwQoTgsfpS,15
4INIbT3tJ6HErLaJ2SXGvn,15
53vkVQdFOWnKjNavGiIQze,13
5Y4vRBs4QCUloQ5W9Wb58j,47
6z0GP8AOTDIShCXUOw1E3Y,35
62bHWlIlUW6fbwBO29h64H,34
4LhwCjtntflNklQPJsOL9G,34
358CD7rg52DY2u4DoYA0Db,32
5ubnEmiVtiHc2bBBTlYzFb,27
3SNAA1yO3M14D3tdlKI1hR,25
37jlSwK5rjIOTvkzAeV21B,24
4rojlzMmY3HlC63dwsKQ0y,23
34JSoBH46szwveT1KsPDvA,40
4jfEgzf3Oulw0AxeiIQghH,36
1iHccThUXUeBl16OuxOrwr,13
5v78y5tNIDoyjsKvDIJWXf,11
5BjTLbB0gVDs8zMH9idX3z,9
2BLY1hOyCKyoEFstwr7xVk,9
6fn1APEwH2ylooWHnaCmCr,7
3sDm3PGMri6aboRavIDinq,7
0g2Bbgy7P41pFjMWJuzsf4,87
1EJIcDYXwSqipW5dFe4uJz,76
1sbEeUY8KsdvgiQi26JBFz,68
3gruCKVuhCsRjs3a3dG8CA,68
1OAh8uOEOvTDqkKFsKksCi,73
3DXncPQOG4VBw3QHh3S817,72
20GrahbI4AzAOWxpYfDKkf,69
5FG7Tl93LdH117jEKYl3Cm,74
1MZtr7IH5qtjIkqrXj8WOJ,64
6jdTkoEaer7XNGSblczoSu,68
51mLQ3w7yR7vjdSTFLWaY5,67
3Yt1ovsh3v3VEzRuhI1TL5,66
6L68DyIsn6SqEN9rStOXb9,66
22erAHtusIHAIuIMhHMKhR,59
0PZdciSUErxre3yK8gxxeQ,58
6w0O9gshUWmVPGG4w0tr4B,55
6ZWRvS1VpmqA2ap3bMI4dY,49
7DbcYoZyhsud6xwjcAvCKg,45
2iAwqZBu2HT6kVwvg6mjY7,44
0HzxeEDKusQM9YaH2fzFfS,41
6YRNS9NPoWp03NWAnUjyx5,41
5rW7qTn83sCKtqBoneJs63,70
51Fjme0JiitpyXKuyQiCDo,75
404b6bC4GIxPsNssJmfC1f,69
4YMc3A256xFBS0xcT77Qce,69
1fvEC5ksBfgjGWVNP9eJ2t,64
0b7C1NzdU4gz5CaNzBtuuk,38
0mQfkI8dXCAX9rBCBhzWjX,37
7LmyUD78mtwBDzgVV4P5F4,57
1ylnqO4n7fgBRYz8AD6tdH,62
6fHs0oTEL87savGV1pLRmh,47
2F0ZhkffMue5pjIONJHQaE,46
74gbCJ5ZvyYAjUA3PeshnR,46
717nOPOJMMqGoX9fXRrf8F,45
0JsP5I1JItAZYlOfCXnaax,41
3ZKWAGpEG2UGvjzoNgJEPq,40
2UridQMaNX3mi7aK1es3MT,40
1D9kLvE4SBX6EOG8uJa7Vy,58
64YAQSR4jfmtHeJudcQix2,57
2nA2F3JwEj3FoR9Pxgnkln,50
1bG6qffAzpyiqwZz4zytTt,49
4XZIuf6EJw8HKOkRC9Jlj4,48
7jEVW8o2CIfdgziEJXnii8,52
04xAywDDrvNZtUKdB7Smi3,39
4QvbBR1e79IYf7323EVUdd,37
6R52Yp7q1bVX8rcezf7DbG,32
6JvB2zCQihiuxmM9J4G78J,32
5Fh1EwAoK35gl4hrNyxnfB,30
30CdL7RNz2X5ile5Tqeedl,30
062fNXDcHIEoH3GFn8hVQn,28
5v7xakRgbY6Rm4J1OYH5KS,25
4bToS6CYQw8A9IDGPVmkjW,54
5EhqjLa40VgnMgMyJlfAZA,35
2ts3FWArgdN0YkfafEJRBl,34
0vEwmS84B8v3FX4S3talh6,30
0QX151rGhclBcVHAQRroRR,29
2CfNX2Ybr1MSrDkxyNEafx,28
6OUF3VfhA7MXPSbT04f4oz,26
1K9XRyb0lA6rKM3c47FQIn,26
1xbDitfPwUaP7y3QJ6pXja,25
4WMCn6s4BZZPfQT3DJbB47,53
2wjsdBWRGQvsCENBap9s5X,46
0AHMsDGvM7OFlMfkdDYRfe,42
51nuBfp8eP0djB3iMEjN7k,41
5RlxDgQrWlsB6wghTV1hoQ,40
3rFvnc3Yo4Mp2M06MxpkNT,38
0d8nCCciOgdwxNeRQVoiLm,34
3GZD6HmiNUhxXYf8Gch723,84
