artist_names,artist_url,artist_id,track_names,track_url,track_id,popularity
Sam Smith,{'spotify': 'https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI'},2wY79sveU1sp5g7SokKOiI,Lay Me Down,{'spotify': 'https://open.spotify.com/track/74sb4Gib0cL3TQeCjYF8vh'},74sb4Gib0cL3TQeCjYF8vh,67
Doja Cat,{'spotify': 'https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5'},5cj0lLjcoR7YOSnhnX0Po5,Kiss Me More (feat. Naomi Watanabe),{'spotify': 'https://open.spotify.com/track/6XgBxK1v4li6dOI5to10Sz'},6XgBxK1v4li6dOI5to10Sz,59
Joji,{'spotify': 'https://open.spotify.com/artist/3MZsBdqDrRTJihTHQrO6Dq'},3MZsBdqDrRTJihTHQrO6Dq,Glimpse of Us,{'spotify': 'https://open.spotify.com/track/6xGruZOHLs39ZbVccQTuPZ'},6xGruZOHLs39ZbVccQTuPZ,96
Kendrick Lamar,{'spotify': 'https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg'},2YZyLoL8N0Wb9xBt1NhZWg,The Heart Part 5,{'spotify': 'https://open.spotify.com/track/5qbhVL3vB7HwWvb0042B7y'},5qbhVL3vB7HwWvb0042B7y,65
Soft Lipa,{'spotify': 'https://open.spotify.com/artist/3Xp3DA50zRP4TYOtNR7k1T'},3Xp3DA50zRP4TYOtNR7k1T,關於小熊,{'spotify': 'https://open.spotify.com/track/13tJ9Mkj7cjXxrTjOh0LAN'},13tJ9Mkj7cjXxrTjOh0LAN,47
JVKE,{'spotify': 'https://open.spotify.com/artist/164Uj4eKjl6zTBKfJLFKKK'},164Uj4eKjl6zTBKfJLFKKK,this is what falling in love feels like,{'spotify': 'https://open.spotify.com/track/4UG2Fm0E98LhE2dlNxiAXx'},4UG2Fm0E98LhE2dlNxiAXx,83
Sergei Rachmaninoff,{'spotify': 'https://open.spotify.com/artist/0Kekt6CKSo0m5mivKcoH51'},0Kekt6CKSo0m5mivKcoH51,"10 Préludes, Op. 23: No. 5, Alla marcia in G Minor",{'spotify': 'https://open.spotify.com/track/3PYb6N5smS9cLD39t3Pcbh'},3PYb6N5smS9cLD39t3Pcbh,0
Cuco,{'spotify': 'https://open.spotify.com/artist/2Tglaf8nvDzwSQnpSrjLHP'},2Tglaf8nvDzwSQnpSrjLHP,Caution,{'spotify': 'https://open.spotify.com/track/5aU5htHGCvb5ZGUvMm6nAF'},5aU5htHGCvb5ZGUvMm6nAF,53
Duke & Jones,{'spotify': 'https://open.spotify.com/artist/3jNm5wvIx1eR5NDdXhMkNV'},3jNm5wvIx1eR5NDdXhMkNV,Jiggle Jiggle,{'spotify': 'https://open.spotify.com/track/1I4lCSP69P74nU3a6Su5L2'},1I4lCSP69P74nU3a6Su5L2,80
Childish Gambino,{'spotify': 'https://open.spotify.com/artist/73sIBHcqh3Z3NyqHKZ7FOL'},73sIBHcqh3Z3NyqHKZ7FOL,This Is America,{'spotify': 'https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9'},0b9oOr2ZgvyQu88wzixux9,70
