Artist_names,Artist_url,Artist_id,Track_names,Track_url,Track_id,Popularity
Sam Smith,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI,2wY79sveU1sp5g7SokKOiI,Lay Me Down,https://open.spotify.com/track/74sb4Gib0cL3TQeCjYF8vh,74sb4Gib0cL3TQeCjYF8vh,67
Doja Cat,https://open.spotify.com/artist/5cj0lLjcoR7YOSnhnX0Po5,5cj0lLjcoR7YOSnhnX0Po5,Kiss Me More (feat. Naomi Watanabe),https://open.spotify.com/track/6XgBxK1v4li6dOI5to10Sz,6XgBxK1v4li6dOI5to10Sz,61
Joji,https://open.spotify.com/artist/3MZsBdqDrRTJihTHQrO6Dq,3MZsBdqDrRTJihTHQrO6Dq,Glimpse of Us,https://open.spotify.com/track/6xGruZOHLs39ZbVccQTuPZ,6xGruZOHLs39ZbVccQTuPZ,96
Kendrick Lamar,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,2YZyLoL8N0Wb9xBt1NhZWg,The Heart Part 5,https://open.spotify.com/track/5qbhVL3vB7HwWvb0042B7,5qbhVL3vB7HwWvb0042B7y,65
Soft Lipa,https://open.spotify.com/artist/3Xp3DA50zRP4TYOtNR7k1T,3Xp3DA50zRP4TYOtNR7k1T,關於小熊,https://open.spotify.com/track/13tJ9Mkj7cjXxrTjOh0LAN,13tJ9Mkj7cjXxrTjOh0LAN,47
JVKE,https://open.spotify.com/artist/164Uj4eKjl6zTBKfJLFKKK,164Uj4eKjl6zTBKfJLFKKK,this is what falling in love feels like,https://open.spotify.com/track/4UG2Fm0E98LhE2dlNxiAXx,4UG2Fm0E98LhE2dlNxiAXx,83
Sergei Rachmaninoff,https://open.spotify.com/artist/0Kekt6CKSo0m5mivKcoH51,0Kekt6CKSo0m5mivKcoH51,"10 Préludes, Op. 23: No. 5, Alla marcia in G Minor",https://open.spotify.com/track/3PYb6N5smS9cLD39t3Pcbh,3PYb6N5smS9cLD39t3Pcbh,0
Cuco,https://open.spotify.com/artist/2Tglaf8nvDzwSQnpSrjLHP,2Tglaf8nvDzwSQnpSrjLHP,Caution,https://open.spotify.com/track/5aU5htHGCvb5ZGUvMm6nAF,5aU5htHGCvb5ZGUvMm6nAF,54
Duke & Jones,https://open.spotify.com/artist/3jNm5wvIx1eR5NDdXhMkNV,3jNm5wvIx1eR5NDdXhMkNV,Jiggle Jiggle,https://open.spotify.com/track/1I4lCSP69P74nU3a6Su5L2,1I4lCSP69P74nU3a6Su5L2,80
Childish Gambino,https://open.spotify.com/artist/73sIBHcqh3Z3NyqHKZ7FOL,73sIBHcqh3Z3NyqHKZ7FOL,This Is America,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9,0b9oOr2ZgvyQu88wzixux9,70
Kendrick Lamar,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,2YZyLoL8N0Wb9xBt1NhZWg,HUMBLE.,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,7KXjTSCq5nL1LoYtL7XAwS,82
Kendrick Lamar,https://open.spotify.com/artist/2YZyLoL8N0Wb9xBt1NhZWg,2YZyLoL8N0Wb9xBt1NhZWg,N95,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2,2FeBslNBMdR9V58uv6hd2t,64
Ama Lou,https://open.spotify.com/artist/2tAqnHDAgnGtjnlzyoa38L,2tAqnHDAgnGtjnlzyoa38L,Same Old Ways,https://open.spotify.com/track/4kgKjHMIDWri9XHjyxSb,4kgKjHMIDWri9XHjyxSbpy,57
Giveon,https://open.spotify.com/artist/4fxd5Ee7UefO4CUXgwJ7IP,4fxd5Ee7UefO4CUXgwJ7IP,Heartbreak Anniversary,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6EN,3FAJ6O0NOHQV8Mc5Ri6ENp,83
Justin Bieber,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3,1uNFoZAHBGtllmzznpCI3s,Peaches (feat. Daniel Caesar & Giveon),https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI,4iJyoBOLtHqaGxP12qzhQI,86
Jon Batiste,https://open.spotify.com/artist/0eRbECAGCLLiTyVXPBRexU,0eRbECAGCLLiTyVXPBRexU,WE ARE,https://open.spotify.com/track/1tjS37UYn7PibLKkMH9vjX,1tjS37UYn7PibLKkMH9vjX,21
PSY,https://open.spotify.com/artist/2dd5mrQZvg6SmahdgVKDzh,2dd5mrQZvg6SmahdgVKDzh,forEVER (feat. TABLO),https://open.spotify.com/track/6YTdl0EKY8mOB1EGPIXLaU,6YTdl0EKY8mOB1EGPIXLaU,27
PSY,https://open.spotify.com/artist/2dd5mrQZvg6SmahdgVKDzh,2dd5mrQZvg6SmahdgVKDzh,Happier (feat. Crush),https://open.spotify.com/track/6idH1Qz9jcXzKcZeNIa9uU,6idH1Qz9jcXzKcZeNIa9uU,32
PSY,https://open.spotify.com/artist/2dd5mrQZvg6SmahdgVKDzh,2dd5mrQZvg6SmahdgVKDzh,Sleepless (feat. Heize),https://open.spotify.com/track/0ifztmwdgzbJe8RU9tXBFk,0ifztmwdgzbJe8RU9tXBFk,31
PSY,https://open.spotify.com/artist/2dd5mrQZvg6SmahdgVKDzh,2dd5mrQZvg6SmahdgVKDzh,You Move Me (feat. SUNG SI KYUNG),https://open.spotify.com/track/2alRAEyM5GvxE8G94Lav4R,2alRAEyM5GvxE8G94Lav4R,34
PSY,https://open.spotify.com/artist/2dd5mrQZvg6SmahdgVKDzh,2dd5mrQZvg6SmahdgVKDzh,Now (feat. Hwa Sa),https://open.spotify.com/track/3tXzsm4d0w4w1Dyx7Eo88g,3tXzsm4d0w4w1Dyx7Eo88g,40
Harry Styles,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,6KImCVD70vtIoJWnq6nGn3,As It Was,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7,4LRPiXqCikLlN15c3yImP7,96
Sergei Rachmaninoff,https://open.spotify.com/artist/0Kekt6CKSo0m5mivKcoH51,0Kekt6CKSo0m5mivKcoH51,"Symphony No. 2 in E Minor, Op. 27: III. Adagio",https://open.spotify.com/track/69zZDJOv5rV9oTXdQVs4yV,69zZDJOv5rV9oTXdQVs4yV,36
J. Cole,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,6l3HvQ5sa6mXTsMTB19rO5,No Role Modelz,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr,68Dni7IE4VyPkTOH9mRWHr,87
